"Year","Average Family Size (Durham)","Average Family Size (NC)","Average Family Size (US)","Percent of Population in Families (Durham)","Percent of Population in Families (NC)","Percent of Population in Families (US)"
1890,"-","-","-","-","-","-"
1900,"-","-","-","-","-","-"
1910,"-","-","-","-","-","-"
1920,"-","-","-","-","-","-"
1930,"-","-","-","-","-","-"
1940,"-","-","-","-","-","-"
1950,"-","-","-","-","-","-"
1960,"-","-","-","-","-","-"
1970,3.4388,3.5828,3.5772,85.4357,90.6947,89.7858
1980,3.1501,3.2355,3.2714,79.3887,86.7281,85.091
1990,2.9919,3.0262,3.1569,75.6626,82.7264,82.0038
2000,2.9935,2.9812,3.1347,72.4469,79.9562,80.075
2010,3.0195,3.0099,3.1341,71.6391,78.8861,78.8791
